"CostCenterCode","LocationCode","CDSCode","School","SchoolYear","NumberInCohort","NumberOfGraduates","CohortGradRate"
"1893001","8930","19647331931955","Duke Ellington Continuation High","2018-19",52.000000000,14.000000000,0.269000000
"1890901","8909","19647331930783","Phoenix Continuation High","2018-19",46.000000000,9.000000000,0.196000000
"1868801","8688","19647331931336","Cheviot Hills Continuation High","2018-19",60.000000000,49.000000000,0.817000000
"1862301","8623","19647331931856","Whitman Continuation High","2018-19",41.000000000,5.000000000,0.122000000
"1859801","8598","19647331930403","Whitney Young Continuation High","2018-19",40.000000000,10.000000000,0.250000000
"1859601","8596","19647331932128","Crenshaw Magnets: Science Tech Engineer Math & Medicine","2018-19",214.000000000,161.000000000,0.752000000
"1876001","8760","19647330102913","Middle College High School","2018-19",87.000000000,83.000000000,0.954000000
"1869601","8696","19647330117069","Helen Bernstein Senior High","2018-19",157.000000000,96.000000000,0.611000000
"1773401","7734","19647330125989","Helen Bernstein Senior High Science Tech Engineering Math","2018-19",127.000000000,121.000000000,0.953000000
"1860201","8602","19647331930429","View Park Continuation High","2018-19",41.000000000,10.000000000,0.244000000
"1894301","8943","19647331939479","Westchester Enriched Sciences Magnets-Health/Sports Med Mag","2018-19",187.000000000,171.000000000,0.914000000
"1887801","8878","19647331938554","Sylmar Charter High School","2018-19",401.000000000,372.000000000,0.928000000
"1766501","7665","19647330126490","Augustus F Hawkins SH - Community Health Advocates School","2018-19",109.000000000,79.000000000,0.725000000
"1766601","7666","19647330126508","Augustus F Hawkins SH - Responsible Indigenous Soc Entrprenr","2018-19",96.000000000,67.000000000,0.698000000
"1194901","1949","19647336060529","Marlton School","2018-19",15.000000000,2.000000000,0.133000000
"1892801","8928","19647331939305","George Washington Preparatory Senior High","2018-19",214.000000000,165.000000000,0.771000000
"1881401","8814","19647331937226","Reseda Charter High School","2018-19",369.000000000,318.000000000,0.862000000
"1860001","8600","19647331932383","Susan Miller Dorsey Senior High","2018-19",257.000000000,187.000000000,0.728000000
"1880101","8801","19647331996115","City of Angels Independent Studies","2018-19",684.000000000,254.000000000,0.371000000
"1858301","8583","19647331931708","Chatsworth Charter High School","2018-19",419.000000000,378.000000000,0.902000000
"1194401","1944","19647336069157","Berenece Carlson Home Hospital School","2018-19",82.000000000,1.000000000,0.012000000
"1859001","8590","19647331931864","Grover Cleveland Charter High School","2018-19",726.000000000,642.000000000,0.884000000
"1868601","8686","19647331933852","Alexander Hamilton Senior High","2018-19",625.000000000,554.000000000,0.886000000
"1873001","8730","19647331932391","West Hollywood Community Day School","2018-19",26.000000000,13.000000000,0.500000000
"1874101","8741","19647331932847","Los Angeles Center for Enriched Studies (LACES) Magnet","2018-19",218.000000000,207.000000000,0.950000000
"1862101","8621","19647331932920","Fairfax Senior High","2018-19",408.000000000,353.000000000,0.865000000
"1888001","8880","19647331938612","William Howard Taft Charter High School","2018-19",574.000000000,529.000000000,0.922000000
"1890701","8907","19647331939040","Venice Senior High","2018-19",474.000000000,385.000000000,0.812000000
"1869301","8693","19647331934033","Hollywood Senior High","2018-19",383.000000000,325.000000000,0.849000000
"1888601","8886","19647331938885","University High School Charter","2018-19",352.000000000,328.000000000,0.932000000
"1873601","8736","19647331935352","Los Angeles Senior High","2018-19",313.000000000,228.000000000,0.728000000
"1871301","8713","19647330126482","Augustus F Hawkins SH - Critical Design and Gaming School","2018-19",131.000000000,101.000000000,0.771000000
"1872701","8727","19647331933001","King-Drew Senior High Medicine and Science Magnet","2018-19",343.000000000,332.000000000,0.968000000
"1857801","8578","19647331932318","Eagle Tree Continuation High","2018-19",44.000000000,24.000000000,0.545000000
"1883801","8838","19647330127787","Narbonne SH-Humanities & Arts (HArts) Academy of Los Angeles","2018-19",115.000000000,99.000000000,0.861000000
"1865201","8652","19647331931971","John Hope Continuation High","2018-19",35.000000000,13.000000000,0.371000000
"1853101","8531","19647331931930","Dan M Isaacs Avalon High School","2018-19",43.000000000,6.000000000,0.140000000
"1885201","8852","19647331930734","Angel's Gate Continuation High","2018-19",70.000000000,12.000000000,0.171000000
"1852901","8529","19647331930650","Phineas Banning Senior High","2018-19",550.000000000,495.000000000,0.900000000
"1191701","1917","19647331930692","Thomas Riley High School - CYESIS","2018-19",32.000000000,16.000000000,0.500000000
"1866601","8666","19647331930486","Moneta Continuation High","2018-19",31.000000000,5.000000000,0.161000000
"1878101","8781","19647331931518","George S Patton Continuation High","2018-19",36.000000000,18.000000000,0.500000000
"1857501","8575","19647331931526","Carson Senior High","2018-19",353.000000000,319.000000000,0.904000000
"1865001","8650","19647331933118","John C Fremont Senior High","2018-19",510.000000000,375.000000000,0.735000000
"1877901","8779","19647331936160","Nathaniel Narbonne Senior High","2018-19",535.000000000,467.000000000,0.873000000
"1894801","8948","19647331995794","Youth Opportunities Unlimited","2018-19",168.000000000,78.000000000,0.464000000
"1885001","8850","19647331937838","San Pedro Senior High","2018-19",498.000000000,448.000000000,0.900000000
"1195701","1957","19647336060503","Ernest P Willenberg Special Education Center","2018-19",13.000000000,0.000000000,0.000000000
"1766701","7667","19647330126573","Mervyn M Dymally Senior High","2018-19",130.000000000,103.000000000,0.792000000
"1872101","8721","19647331934454","David Starr Jordan Senior High","2018-19",99.000000000,70.000000000,0.707000000
"1765701","7657","19647330126615","Carson Senior High - Academy of Education and Empowerment","2018-19",127.000000000,126.000000000,0.992000000
"1867001","8670","19647330102764","Richard A Alonzo Community Day School","2018-19",50.000000000,6.000000000,0.120000000
"1866401","8664","19647331933241","Gardena Senior High","2018-19",331.000000000,274.000000000,0.828000000
"1886801","8868","19647330124529","Rancho Dominguez Preparatory School","2018-19",137.000000000,128.000000000,0.934000000
"1765601","7656","19647330126623","Carson Senior High - Academy of Medical Arts","2018-19",116.000000000,109.000000000,0.940000000
"1883101","8831","19647331932821","Boyle Heights Continuation High","2018-19",45.000000000,4.000000000,0.089000000
"1868301","8683","19647331933795","Ulysses S Grant Senior High","2018-19",491.000000000,398.000000000,0.811000000
"1853601","8536","19647331930866","Bell Senior High","2018-19",696.000000000,568.000000000,0.816000000
"1872301","8723","19647331930973","Simon Rodia Continuation High","2018-19",187.000000000,100.000000000,0.535000000
"1875701","8757","19647331931468","Metropolitan Continuation High","2018-19",42.000000000,8.000000000,0.190000000
"1867701","8677","19647331931989","Monterey Continuation High","2018-19",32.000000000,3.000000000,0.094000000
"1873101","8731","19647331930577","Pueblo De Los Angeles Continuation High","2018-19",48.000000000,16.000000000,0.333000000
"1867901","8679","19647331933381","James A Garfield Senior High","2018-19",608.000000000,571.000000000,0.939000000
"1870001","8700","19647331934157","Huntington Park Senior High","2018-19",361.000000000,302.000000000,0.837000000
"1872901","8729","19647331935121","Abraham Lincoln Senior High","2018-19",222.000000000,182.000000000,0.820000000
"1880701","8807","19647331937085","Ramona Opportunity High School","2018-19",19.000000000,4.000000000,0.211000000
"1774901","7749","19647331937424","Theodore Roosevelt Senior High","2018-19",317.000000000,235.000000000,0.741000000
